Тип,Артикул,Имя,"Короткое описание",Описание,Категории,Родительский,"Базовая цена","Цена распродажи",Запасы,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Глобальный атрибут 2","Имя атрибута 3","Значение(-я) аттрибута(-ов) 3","Глобальный атрибут 3","Имя атрибута 4","Значение(-я) аттрибута(-ов) 4","Глобальный атрибут 4","Имя атрибута 5","Значение(-я) аттрибута(-ов) 5","Глобальный атрибут 5","Имя атрибута 6","Значение(-я) аттрибута(-ов) 6","Глобальный атрибут 6","Имя атрибута 7","Значение(-я) аттрибута(-ов) 7","Глобальный атрибут 7","Имя атрибута 8","Значение(-я) аттрибута(-ов) 8","Глобальный атрибут 8"
variable,st14d,"Stels Talisman","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Желтый, Зеленый, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,Ножные,1,"Количество скоростей",1,1,"Размер колес",14,1
variation,"543378 ","Stels Talisman",,,,st14d,3890,3250," 5",Цвет,Желтый,1,"Размер рамы",,1
variation,"
543379 ","Stels Talisman",,,,st14d,3890,3250," 10",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543380 ","Stels Talisman",,,,st14d,3890,3250," 7",Цвет,Синий,1,"Размер рамы",,1
variable,st16d,"Stels Talisman","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Желтый, Зеленый, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,Ножные,1,"Количество скоростей",1,1,"Размер колес",16,1
variation,"543381 ","Stels Talisman",,,,st16d,5300,4570," 5",Цвет,Желтый,1,"Размер рамы",,1
variation,"
543382 ","Stels Talisman",,,,st16d,5300,4570," 10",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543383 ","Stels Talisman",,,,st16d,5300,4570," 7",Цвет,Синий,1,"Размер рамы",,1
variable,st18d,"Stels Talisman","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Желтый, Зеленый, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,Ножные,1,"Количество скоростей",1,1,"Размер колес",18,1
variation,"543384 ","Stels Talisman",,,,st18d,6100,5150," 5",Цвет,Желтый,1,"Размер рамы",,1
variation,"
543385 ","Stels Talisman",,,,st18d,6100,5150," 3",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543386 ","Stels Talisman",,,,st18d,6100,5150," 7",Цвет,Синий,1,"Размер рамы",,1
variable,sj14d,"Stels Jolly","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,Фиолетовый,1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,"Ножные, Ободные",1,"Количество скоростей",1,1,"Размер колес",14,1
variation,"543387 ","Stels Jolly",,,,sj14d,4130,3829," 5",Цвет,Фиолетовый,1,"Размер рамы",,1
variable,sj16d,"Stels Jolly","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Мятный, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,"Ножные, Ободные",1,"Количество скоростей",1,1,"Размер колес",16,1
variation,"543388 ","Stels Jolly",,,,sj16d,5700,4040," 5",Цвет,Мятный,1,"Размер рамы",,1
variation,"
543389 ","Stels Jolly",,,,sj16d,5700,4040," 5",Цвет,Синий,1,"Размер рамы",,1
variable,sj18d,"Stels Jolly","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Зеленый, Красный, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,"Ножные, Ободные",1,"Количество скоростей",1,1,"Размер колес",18,1
variation,"543391 ","Stels Jolly",,,,sj18d,6100,5200," 5",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543392 ","Stels Jolly",,,,sj18d,6100,5200," 5",Цвет,Красный,1,"Размер рамы",,1
variation,"
543393 ","Stels Jolly",,,,sj18d,6100,5200," 5",Цвет,Синий,1,"Размер рамы",,1
variable,sn50026,"Stels Nav.500","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Горный велосипед",,,,,Цвет,"Черный-зеленый, Серебристый-синий, Черный-красный",1,"Размер рамы","16, 18, 20",1,Бренд,Stels,1,Тип,Горные,1,Материал,Сталь,1,Тормоза,Дисковые,1,"Количество скоростей",21,1,"Размер колес",26,1
variation,"543394 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Черный-зеленый,1,"Размер рамы",16,1
variation,"
543395 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Серебристый-синий,1,"Размер рамы",18,1
variation,"
543396 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Серебристый-синий,1,"Размер рамы",20,1
variation,"
543397 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Черный-зеленый,1,"Размер рамы",20,1
variation,"
543398 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Черный-красный,1,"Размер рамы",20,1
variation,"
543399 ","Stels Nav.500",,,,sn50026,15600,12844," 5",Цвет,Серебристый-синий,1,"Размер рамы",20,1
variable,d210020,"Десна 2100","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Складной велосипед",,,,,Цвет,"Голубой, Зеленый, Красный",1,"Размер рамы",,1,Бренд,Десна,1,Тип,Складные,1,Материал,Сталь,1,Тормоза,"Ножные, Ободные",1,"Количество скоростей",1,1,"Размер колес",20,1
variation,"543100 ","Десна 2100",,,,d210020,6700,5311," 5",Цвет,Голубой,1,"Размер рамы",,1
variation,"
543101 ","Десна 2100",,,,d210020,6700,5311," 5",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543102 ","Десна 2100",,,,d210020,6700,5311," 5",Цвет,Красный,1,"Размер рамы",,1
